feature_set,best_random_cv_weighted_f1_mean,best_random_cv_accuracy_mean,best_random_cv_macro_precision_mean,best_random_cv_macro_f1_mean,best_domain_cv_accuracy_mean,best_domain_cv_macro_f1_mean,best_worst_domain_accuracy,best_worst_domain_macro_f1,candidate_count,best_scaler,best_reducer,best_metric,best_n_neighbors
lowfreq_all_plus_waveform_spectral,0.8321298245865254,0.8316666666666667,0.8330368643569075,0.8321298245865254,0.4202401581508916,0.1985383135585789,0.05887894488930758,0.037069988137603795,10,robust,"{'type': 'select_k_best', 'k': 64}",manhattan,7
waveform_spectral_stats,0.8211835108825756,0.82,0.8239545781381594,0.8211835108825756,0.24242791724865698,0.12233987164869137,0.05887894488930758,0.037069988137603795,10,minmax,"{'type': 'pca_components', 'value': 44}",minkowski,41
lowfreq_all_plus_logmel,0.7922844090356375,0.7906666666666666,0.7961359475229091,0.7922844090356375,0.3690798996275116,0.14545557446928903,0.05887894488930758,0.037069988137603795,13,standard,"{'type': 'select_k_best', 'k': 32}",minkowski,41
lowfreq_all_plus_regions,0.7879132461643934,0.787,0.7907253982478778,0.7879132461643934,0.3788943981141309,0.20443838792379684,0.05887894488930758,0.037069988137603795,11,standard,"{'type': 'pca_components', 'value': 64}",euclidean,15
notebook_exact_44_plus_regions,0.7872221652368585,0.7866666666666667,0.790677781242194,0.7872221652368584,0.32483723927408975,0.13780229384495488,0.05887894488930758,0.037069988137603795,7,robust,"{'type': 'pca_components', 'value': 44}",manhattan,21
class_region_lowfreq_features,0.7851581468575642,0.7843333333333333,0.7869299054927723,0.7851581468575642,0.27551751138293334,0.16932368725521188,0.05887894488930758,0.037069988137603795,10,standard,"{'type': 'pca_components', 'value': 128}",minkowski,15
notebook_lowfreq_meanmax_64,0.7821399487353092,0.7806666666666666,0.7847234585372856,0.7821399487353091,0.45190877273328844,0.1779607691721091,0.05887894488930758,0.037069988137603795,15,standard,"{'type': 'pca_components', 'value': 8}",manhattan,5
lowfreq_all_plus_mfcc,0.7737555069254555,0.7716666666666667,0.7795644861849796,0.7737555069254555,0.3584188069966266,0.1867262409370394,0.04698972099853157,0.030880755398903115,12,standard,"{'type': 'select_k_best', 'k': 16}",manhattan,15
lowfreq_all,0.7698585864620693,0.7676666666666667,0.7768550436976985,0.7698585864620691,0.3916207808845666,0.21029828666065956,0.05887894488930758,0.037069988137603795,10,minmax,"{'type': 'select_k_best', 'k': 512}",manhattan,15
notebook_lowfreq_band_features,0.7624539393336855,0.76,0.7668291480947083,0.7624539393336855,0.45041537067349235,0.23140019588402638,0.05887894488930758,0.037069988137603795,7,standard,{'type': 'none'},minkowski,5
notebook_exact_44_plus_duration,0.7603250494725895,0.7563333333333333,0.7768797286351755,0.7603250494725894,0.3711951363242461,0.1577884433266914,0.05887894488930758,0.037069988137603795,8,robust,"{'type': 'pca_components', 'value': 256}",manhattan,31
notebook_exact_44_dynrange,0.7542420143776152,0.7556666666666667,0.754188383264118,0.7542420143776153,0.4247303536417164,0.22407663643174006,0.05887894488930758,0.037069988137603795,13,standard_l2,"{'type': 'pca_components', 'value': 8}",euclidean,11
notebook_exact_44,0.7524512916779516,0.7506666666666667,0.7553708641931575,0.7524512916779516,0.45087987365530185,0.23150739304302018,0.05887894488930758,0.037069988137603795,13,power,"{'type': 'pca_components', 'value': 8}",euclidean,9
relative_lowfreq_shape_features,0.7475423893147097,0.7456666666666665,0.7521978803002118,0.7475423893147097,0.2491107665998512,0.11067129835593736,0.055800293685756244,0.03661057359687497,10,standard,"{'type': 'select_k_best', 'k': 512}",manhattan,9
notebook_exact_44_noclip,0.7448748768318925,0.7406666666666667,0.7533296825175058,0.7448748768318925,0.4454956347908868,0.23059548460432452,0.05887894488930758,0.037069988137603795,13,robust,{'type': 'none'},euclidean,21
notebook_lowfreq_mean_20,0.7426612312746008,0.7416666666666666,0.7458702832580817,0.7426612312746008,0.4479679893714856,0.23063013991772366,0.05887894488930758,0.037069988137603795,10,standard,"{'type': 'select_k_best', 'k': 32}",manhattan,15
lowfreq_relative_temporal,0.736526778500283,0.7343333333333334,0.741793463176576,0.736526778500283,0.24030019391262655,0.14818813622334814,0.02936857562408223,0.019994420532440618,7,robust,"{'type': 'select_k_best', 'k': 32}",minkowski,31
notebook_exact_26,0.7334992599412725,0.7406666666666667,0.7359380455924452,0.7334992599412726,0.5150262370464733,0.2552282346188102,0.05887894488930758,0.037069988137603795,14,standard,"{'type': 'variance_threshold', 'threshold': 0.0}",cosine,15
notebook_lowfreq_max_20,0.702118850112764,0.7,0.7073721270635436,0.702118850112764,0.24166123759588545,0.11226647638102659,0.05887894488930758,0.037069988137603795,4,normalizer,"{'type': 'select_k_best', 'k': 32}",chebyshev,21
temporal_lowfreq_shape_features,0.45279228152061296,0.45466666666666666,0.45201187699274054,0.452792281520613,0.048305628098048135,0.030314609001885706,0.004405286343612335,0.0035593734592483024,16,power,"{'type': 'select_k_best', 'k': 1024}",euclidean,31
