imputer,scaler,reducer,n_neighbors,weights,metric,algorithm,leaf_size,p,feature_set,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_precision_mean,random_cv_macro_precision_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,random_cv_weighted_f1_mean,random_cv_weighted_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_precision_mean,stratified_cv_macro_precision_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,stratified_cv_weighted_f1_mean,stratified_cv_weighted_f1_std,domain_cv_accuracy_mean,domain_cv_macro_precision_mean,domain_cv_macro_f1_mean,domain_cv_weighted_f1_mean,domain_cv_accuracy_std,domain_cv_macro_precision_std,domain_cv_macro_f1_std,domain_cv_weighted_f1_std,worst_domain_accuracy,worst_domain_macro_precision,worst_domain_macro_f1,worst_domain_weighted_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,feature_dimension,feature_count,cache_path
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,lowfreq_all_plus_waveform_spectral,ok,,0.1636947850783824,0.07696960834212593,0.24012348997017016,0.05928975601219159,0.11246749081357277,0.03216930449944894,0.15411950749807957,0.08040968117917582,0.756,0.013511899517515235,0.7584919270706327,0.013704015398773143,0.7563708107766598,0.013415052751107716,0.7563708107766599,0.013415052751107737,0.756,0.013511899517515235,0.7584919270706327,0.013704015398773143,0.7563708107766598,0.013415052751107716,0.7563708107766599,0.013415052751107737,0.1636947850783824,0.24012348997017016,0.11246749081357277,0.15411950749807957,0.07696960834212593,0.05928975601219159,0.03216930449944894,0.08040968117917582,0.05490549054905491,0.15686432510827036,0.0672608880044032,0.04051014279979364,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,277,277,outputs/cache/features/58/58a41ad7ed789eac08d94ca483da80c94fc7d610.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,class_region_lowfreq_features,ok,,0.15524307669690388,0.06680579688153714,0.24375893697485582,0.04844467608397937,0.10797426369774264,0.03324565884935454,0.15171290219586742,0.0650762014187494,0.7324285714285714,0.01037658274133423,0.7365937149946864,0.010104676790472581,0.7333317305618957,0.010338804502252318,0.7333317305618957,0.010338804502252314,0.7324285714285714,0.01037658274133423,0.7365937149946864,0.010104676790472581,0.7333317305618957,0.010338804502252318,0.7333317305618957,0.010338804502252314,0.15524307669690388,0.24375893697485582,0.10797426369774264,0.15171290219586742,0.06680579688153714,0.04844467608397937,0.03324565884935454,0.0650762014187494,0.0666066606660666,0.17743983799210547,0.0688684941759442,0.07016382598759555,stratified_kfold,leave_one_domain_out,class_region_lowfreq_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,38,38,outputs/cache/features/ab/ab8685933bb2ddb5a86cebc38d7028f34f5bb940.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_plus_regions,ok,,0.15267846066695967,0.06350988062772041,0.2376036082609585,0.07010856902884215,0.10281674772782108,0.026670256469120027,0.14693063339318044,0.059096514686986366,0.7277142857142858,0.014835148555139616,0.7353025551854906,0.013819878359505685,0.7298306754384101,0.014357529842129043,0.7298306754384101,0.01435752984212899,0.7277142857142858,0.014835148555139616,0.7353025551854906,0.013819878359505685,0.7298306754384101,0.014357529842129043,0.7298306754384101,0.01435752984212899,0.15267846066695967,0.2376036082609585,0.10281674772782108,0.14693063339318044,0.06350988062772041,0.07010856902884215,0.026670256469120027,0.059096514686986366,0.063006300630063,0.13920462235929937,0.06600874221183936,0.06427762049419843,stratified_kfold,leave_one_domain_out,notebook_exact_44_plus_regions,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,82,82,outputs/cache/features/ed/ed1e1cef489c72280f74c3ddf5b1db28b368af00.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_lowfreq_band_features,ok,,0.15739873033605464,0.06999417703653134,0.21757519292688732,0.056880777646084124,0.10446590421139712,0.02742978169387338,0.14236378906006378,0.06449195983703382,0.7148571428571429,0.003817254061682101,0.7193951352693314,0.0043993824483930894,0.7157868946810911,0.0038076702671239813,0.7157868946810911,0.0038076702671239852,0.7148571428571429,0.003817254061682101,0.7193951352693314,0.0043993824483930894,0.7157868946810911,0.0038076702671239813,0.7157868946810911,0.0038076702671239852,0.15739873033605464,0.21757519292688732,0.10446590421139712,0.14236378906006378,0.06999417703653134,0.056880777646084124,0.02742978169387338,0.06449195983703382,0.05850585058505851,0.14945779929022204,0.06730948648423794,0.053156156348843735,stratified_kfold,leave_one_domain_out,notebook_lowfreq_band_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,68,68,outputs/cache/features/24/248146ecfb53247fb109a479afc1eaa66a4bf621.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_26,ok,,0.15674387843500093,0.07802145529734848,0.22338812510524994,0.06924921649182456,0.09783096689964509,0.029231556467160944,0.13678063639799287,0.06770839224190138,0.6871428571428572,0.005439837932759936,0.692873230678195,0.004754072987673063,0.6873247559112378,0.005229593996054243,0.6873247559112378,0.005229593996054308,0.6871428571428572,0.005439837932759936,0.692873230678195,0.004754072987673063,0.6873247559112378,0.005229593996054243,0.6873247559112378,0.005229593996054308,0.15674387843500093,0.22338812510524994,0.09783096689964509,0.13678063639799287,0.07802145529734848,0.06924921649182456,0.029231556467160944,0.06770839224190138,0.048604860486048604,0.12593089129697427,0.05652857713611024,0.04107927055735932,stratified_kfold,leave_one_domain_out,notebook_exact_26,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,26,26,outputs/cache/features/28/28742d8475c4f435e2d8e9900613ec341a659cad.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,lowfreq_all,ok,,0.1375332049442043,0.06163222469972232,0.2119153619532412,0.06998438620880788,0.09217999667028652,0.025101302667541635,0.12452725930643278,0.05839105888600155,0.6839999999999999,0.013496787221636237,0.6901420466205608,0.013166761550256714,0.6851622926375016,0.013096104417991986,0.6851622926375018,0.013096104417991888,0.6839999999999999,0.013496787221636237,0.6901420466205608,0.013166761550256714,0.6851622926375016,0.013096104417991986,0.6851622926375018,0.013096104417991888,0.1375332049442043,0.2119153619532412,0.09217999667028652,0.12452725930643278,0.06163222469972232,0.06998438620880788,0.025101302667541635,0.05839105888600155,0.050405040504050404,0.11323113549249054,0.05694922771043166,0.042306609415860945,stratified_kfold,leave_one_domain_out,lowfreq_all,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,216,216,outputs/cache/features/01/016466611518892c87e179a0ae90f7b83c49d084.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_plus_duration,ok,,0.14672528712214325,0.0704711229345402,0.22906818036906118,0.08363138701428771,0.09389101077122301,0.02804433285333794,0.13397778102061889,0.06438416872152802,0.6715714285714285,0.006050805309870679,0.6793303955399079,0.005144799462733179,0.6730175169506211,0.005727133368252292,0.6730175169506211,0.005727133368252325,0.6715714285714285,0.006050805309870679,0.6793303955399079,0.005144799462733179,0.6730175169506211,0.005727133368252292,0.6730175169506211,0.005727133368252325,0.14672528712214325,0.22906818036906118,0.09389101077122301,0.13397778102061889,0.0704711229345402,0.08363138701428771,0.02804433285333794,0.06438416872152802,0.05310531053105311,0.11394590998097918,0.05620557706373408,0.04526486439352352,stratified_kfold,leave_one_domain_out,notebook_exact_44_plus_duration,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,45,45,outputs/cache/features/b2/b209c10b5ca5952a27154c0c9e7762f0981b9a21.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44,ok,,0.14956479054417388,0.0742488303605482,0.22824328494858578,0.08012997918061328,0.09414003250868415,0.030264852033610845,0.13406683823967283,0.06524145678258196,0.6689999999999999,0.01065794711633972,0.6764191375449448,0.009730393159102277,0.6704143042308093,0.010439875930902412,0.6704143042308093,0.010439875930902424,0.6689999999999999,0.01065794711633972,0.6764191375449448,0.009730393159102277,0.6704143042308093,0.010439875930902412,0.6704143042308093,0.010439875930902424,0.14956479054417388,0.22824328494858578,0.09414003250868415,0.13406683823967283,0.0742488303605482,0.08012997918061328,0.030264852033610845,0.06524145678258196,0.050405040504050404,0.11726922948424688,0.05262377126219026,0.04360581466260007,stratified_kfold,leave_one_domain_out,notebook_exact_44,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/52/5293f2f3de473484c23486d571fe68b0abef65dd.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_noclip,ok,,0.14956479054417388,0.0742488303605482,0.22824328494858578,0.08012997918061328,0.09414003250868415,0.030264852033610845,0.13406683823967283,0.06524145678258196,0.6689999999999999,0.01065794711633972,0.6764191375449448,0.009730393159102277,0.6704143042308093,0.010439875930902412,0.6704143042308093,0.010439875930902424,0.6689999999999999,0.01065794711633972,0.6764191375449448,0.009730393159102277,0.6704143042308093,0.010439875930902412,0.6704143042308093,0.010439875930902424,0.14956479054417388,0.22824328494858578,0.09414003250868415,0.13406683823967283,0.0742488303605482,0.08012997918061328,0.030264852033610845,0.06524145678258196,0.050405040504050404,0.11726922948424688,0.05262377126219026,0.04360581466260007,stratified_kfold,leave_one_domain_out,notebook_exact_44_noclip,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/7a/7ab66e46d27f718afd634042bfa12c207b8b7e44.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_dynrange,ok,,0.14943100082802943,0.07387397730209813,0.22814611178459668,0.08006527105503809,0.0941959183433832,0.029775137606970484,0.13377490534373168,0.06492448750004251,0.6682857142857143,0.010600346548050935,0.6757653561257256,0.00960718437030997,0.6696898807488537,0.01039356874217434,0.6696898807488538,0.010393568742174307,0.6682857142857143,0.010600346548050935,0.6757653561257256,0.00960718437030997,0.6696898807488537,0.01039356874217434,0.6696898807488538,0.010393568742174307,0.14943100082802943,0.22814611178459668,0.0941959183433832,0.13377490534373168,0.07387397730209813,0.08006527105503809,0.029775137606970484,0.06492448750004251,0.050855085508550855,0.11714108303573519,0.053398931059079544,0.04372076195407016,stratified_kfold,leave_one_domain_out,notebook_exact_44_dynrange,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/fc/fccfecb28653d3f9601620eabd9ba69c4ca0003e.joblib
